barcode,product_name,brands,ingredients_text,sold_in_india_status,ingredient_confidence,status,data_source,source_license,collection_method
8908016501530,Peri Peri Crumbles,Hello Tempayy,"non gmo soybeans. water. red chilli paste, vinegar, sunflower oil, chilli powder, sugar, lodized salt, lime juice, spices and condiments. hydrolysed vegetable protein, rice flour, rhizopus (culture) iron, vitamin b12.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901522005158,Ginger Ale (Zero Sugar),Jameson,"carbonated water, acidity regulators [ins 330, ins 331(iii)], flavours, nature flavouring substances), artificial sweeteners (ins 955, ins 950), preservative (ins 218) and colour (ins 150d).",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901018000889,Milk Rich,Nilgiri's,"milk fat, milk solids milk fat 4.5% milk snf 8.5%",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8906009073958,Unibic Coconut Cookies,Unibic,"desiccated coconut powder (30%), sugar, refined wheat flour (maida), edible vegetable oil (palm), golden syrup, milk solids, lodised salt, emulsifier (ins 322 from soy), leavening agents (ins 500 ii, ins 503 ii).",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906112995390,high protein pav bun,protein chef,"high protein flour (whole wheat flour, defatted peanut flour, isolated wheat protein, <span class=""allergen"">soy protein isolate</span>), sugar, edible common salt, yeast, edible vegetable oil (sunflower), emulsifier from soy (e322), acidity regulator (e260), calcium propionate, vit c",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906008815153,Arhar Dal (Toor Dal),Fortune,arhar dal (toor dal),CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8901063368323,muffills vanila flavour,Britannia,"sugar, refined wheat flour (maida), prepared mix (invert syrup, water, vegetable oil, egg, humectants (422 & 420(ii))), invert sugar syrup, gum gel, emulsifiers and stabilizers (471, 477 and humectant (420(ii))), liquid glucose, baking powder, artificial vanilla flavouring, natural and nature identical flavouring substances, raising agents (500(ii), 450(i), 341(i)), iodized salt, acidity regulator (330), preservatives (202, 282), emulsifier (471), stabilizer (415).",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8908001588560,Wheat Chapati,Asal,"whole wheat flour (atta) (57.4%), refined sunflower oil (3.5%), wheat gluten, ro-purified water, preservative (ins 202), stabilizer (ins 412), baking powder, lodized salt",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906033261215,Ripple Tea,Ripple,green tea (99.7%) & jasmine flavour (natural flavour) contains added flavour (natural flavour),CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8908012289111,Protein Powder,Naturamore,"sucrose, whey protein concentrate 14.3%, soy protein isolate 13.5%, malt extract,maltodextrin, micronutrient premix minerals (calcium phosphate tribasic, choline bitartrate,  sodium citrate, zinc sulphate, manganese sulphate, vitamins (ascorbic acid, bl-aloha tocopheryl acetate, nicotinamide, retinyl acetate, ergocalciferol, cyanocobalamin, thiamine mononitrate, riboflavin, phylloquinone, d-biotin, rice protein isolate 26 pea protein isolate 1%, omega 3 dha 0.3%-algal source, stabilizer, brahmi extract 0.15% ashwagandha extract 0.12%, colostrum powder 0.1%.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906046144406,Yellow Mustard Ground Organic Spices,,yellow mustard seed ground,CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8906080604676,Paper boat Indigo exclusive mango basil,Paper boat,"water, mango pulp (51%) apple juice concentrate (7%). flavours (natural and nature-identical flavouring substances), lemon juice concentrate, dried basil leaves.",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8906064701018,Banana chips,Kozhi,"raw banana (90%), refined palmolein, salt, turmeric, colour (102)",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8902901231373,Good Life hing,Good Life,"wheat flour (atta) (58%), gum arabic (31%), asafoetida (hing) 11%",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8906080603518,Paper boat Zero Sparkling Coffee,Paper boat,"carbonated water, sweeteners (968, 955), flavours (nature-identical and natural flavouring substances), acidity regulators (330, 331 (iii)), coffee bean extract (0.1%), caffeine (25mg/100ml), preservative (211). peping contains non-caloric",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8903023270752,More Atta Bread,More,"whole wheat flour, sugar, yeast, lodised salt, refined palmolein oil, soya flour, emulsifier(ins 476,471 481(1) preservative (ins 282), antioxidant (ins 300), improver (ins 1100), acidity regulator (ins 260)",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8905950003892,Soya Sticks,Bikaji,"edible vegetable oil (palmolein oil, cottonseed oil), tapioca starch, black gram flour, soya powder (7%), rice flour, black lentil flour, ground spices & condiments (lodised salt, sugar, maltodextrin, fennel, cumin, red chilli, ginger, turmeric (colouring & spices), dry mango powder, corn starch, garlic, mustard seeds, acidity regulator (ins 330, ins 296), anticaking agent (ins 551), asafoetida, flavouring enhancer (ins 627, ins 631, ins 635), hydrolyzed vegetable protein (soya)). hydrogenated vegetable oil (palm, sesame) contains: soy, sesame, mustard contains added flavours (nature identical & natural flavouring substances) contains added permitted natural colour (ins 160c)",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906142560421,Nourish Organics Popeas Organic Chickpea Protein Puffs,Nourish Organics,"organic flours (71%) [chickpea, brown rice, maize], organic sunflower oil (15%), organic vegan *parmesan seasoning (10%) [cashew ground, garlic powder, onion powder, salt, paprika, nutritional yeast], <span class=""allergen"">soy protein isolate</span>.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906011347405,Mello Royale Dark Compound,Mello Royale,"sugar, edible vegetable fat (hydrogenated oil), cocoa solids, emulsifiers (ins 322 (i), ins 476, ins 492), edible salt, flavour.",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8904083301547,Sweetend Condensed Milk,Milky Mist,milk solids and sugar,CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
