chemical_name,ins_code,e_number,country_code,country_name,status,reason,year,regulation_ref,source_url
Titanium Dioxide,171,E171,EU,European Union,BANNED,Non-excludable genotoxicity after nanoparticle accumulation,2022,EU Regulation 2022/63,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2021.6585
TBHQ (Tertiary Butylhydroquinone),319,E319,JP,Japan,BANNED,Immunotoxicity and lack of safety approval under MHLW,1995,Japan Food Sanitation Act,https://www.mhlw.go.jp/english/topics/foodsafety/foodadditives/
Tartrazine,102,E102,EU,European Union,RESTRICTED,Mandatory warning label required: May have adverse effect on activity and attention in children,2008,EU Regulation 1333/2008 Annex V,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008R1333
Tartrazine,102,E102,US,United States,RESTRICTED,Mandatory label disclosure requirement due to bronchial asthma trigger risks,1979,21 CFR 74.705,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfcfr/CFRSearch.cfm?fr=74.705
Sulfite Ammonia Caramel,150d,E150d,US,United States (CA),RESTRICTED,California Proposition 65 cancer warning label required if 4-MEI exceeds 29 mcg/day,2011,Cal. Code Regs. tit. 27 § 27001,https://oehha.ca.gov/proposition-65/chemicals/4-methylimidazole
Aspartame,951,E951,IN,India,RESTRICTED,Mandatory label warning: NOT RECOMMENDED FOR CHILDREN. CONTAINS PHENYLALANINE,2020,FSSAI Packaging & Labelling Regs,https://www.fssai.gov.in/upload/uploadfiles/files/Compendium_Food_Additives_Regulations_08_09_2020.pdf
Monosodium Glutamate,621,E621,IN,India,RESTRICTED,Prohibited in food for infants below 12 months with mandatory label declaration,2011,FSSAI Regulation 2.4.5,https://www.fssai.gov.in/upload/uploadfiles/files/Packaging_Labelling_Regulations.pdf
Potassium Bromate,924a,E924a,IN,India,BANNED,Classified as Group 2B carcinogen; prohibited as flour treatment agent,2016,FSSAI Prohibition Notification 2016,https://www.fssai.gov.in/upload/press_release/2016/06/5769212e36502Press_Release_Potassium_Bromate_20_06_2016.pdf
Red 3 (Erythrosine),127,E127,US,United States (CA),Banned in CA,California Food Safety Act bans manufacture and sale effective 2027 due to cancer risk,2023,Cal. Health & Safety Code § 108075,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB418
BVO (Brominated Vegetable Oil),443,E443,US,United States,BANNED,FDA revoked GRAS status due to thyroid bioaccumulation and toxicity,2024,21 CFR 180.30 Revocation,https://www.fda.gov/food/food-additives-petitions/fda-revokes-authorization-brominated-vegetable-oil-bvo-food
